Chemical,Sentence
bicyclo[2.2.1]hept-5-ene-2-carbonitrile,Heat bicyclo[2.2.1]hept-5-ene-2-carbonitrile in a double boiler until the reaction mixture solidifies. The solid product is then isolated by filtration and dissolved
1H-indene,The 1H-indene has been found to be a useful reagent for the preparation of many organic compounds.
2H-benzotriazole,"2H-benzotriazole is a structural analog of benzotriazole, a group of chemicals that are commonly used in various applications."
1-benzothiophene,"""1-benzothiophene is a colorless, oily liquid that forms a salty amorphous solid at room temperature."""
"1,3-benzothiazole","Based on the passage above, Can you provide a scientific or descriptive sentence about the chemical compound 1,3-benzothiazole?"
"2-(2-heptadecyl-4,5-dihydroimidazol-1-yl)ethanol","The chemical compound 2-(2-heptadecyl-4,5-dihydroimidazol-1-yl)ethanol is a carboxylic acid with the molecular formula C6H1"
2-methyl-1H-indole,The chemical compound 2-methyl-1H-indole is a color
"2-methyl-1,3-benzoxazole","2-methyl-1,3-benzoxazole is a potent inhibitor of the enzyme CYP1A2, which is involved in the metabolism of xenobiotics ("
"6-chloro-1,3-benzothiazol-2-amine","The 6-chloro-1,3-benzothiazol-2-amine chemical compound is a blue-green synthetic drug that is used as an antidepressant and anti-anxiety drug"
"2,5-dimethyl-1,3-benzothiazole","The chemical compound 2,5-dimethyl-1,3-benzothiazole is a yellow and crystalline compound with a molecular formula of C6H6O2. This chemical compound"
"N-(1,3-benzothiazol-2-ylsulfanyl)-N-propan-2-ylpropan-2-amine","N-(1,3-benzothiazol-2-ylsulfanyl)-N-propan-2-ylpropan-2-amine is a chemical compound with the molecular formula C14H"
"1,3-benzothiazol-2-yl N,N-diethylcarbamodithioate",The compound consists of two benzene rings and two thiazole rings joined by a 2-ethylcarbamate group.
"N-(1,3-benzothiazol-2-ylsulfanyl)-2-methylpropan-2-amine","N-(1,3-benzothiazol-2-ylsulfanyl)-2-methylpropan-2-amine is a chemical compound that is commonly used as a pesticide."
"4-(1,3-benzothiazol-2-yldisulfanyl)morpholine","According to a new study, the chemical compound 4-(1,3-benzothiazol-2-yldisulfanyl)morpholine is a promising therapeutic agent for Alzheimer"
"N-(1,3-benzothiazol-2-ylsulfanyl)cyclohexanamine","N-(1,3-benzothiazol-2-ylsulfanyl)cyclohexanamine is a compound with a chemical formula of C14H18O3S. This compound is"
"2-(2-heptadec-8-enyl-4,5-dihydroimidazol-1-yl)ethanol","2-(2-heptadec-8-enyl-4,5-dihydroimidazol-1-yl)ethanol is a chemical compound with a molecular formula of C12H1"
2-bicyclo[2.2.1]hept-5-enylmethyl prop-2-enoate,2-bicyclo[2.2.1]hept-5-enylmethyl prop-2-enoate is a synthetic organic chemical compound that exhibits potent anti-inflammatory activity
N-(3-nitrosobut-2-en-2-yl)hydroxylamine,N-(3-nitrosobut-2-en-2-yl)hydroxylamine is a chemical compound with the molecular formula C 6 H 10 N 2 O 7. It is a
1-bromo-2-methylbenzene,"A chemical compound called 1-bromo-2-methylbenzene is a reactive, acidic, and flammable compound. It is a common component in the production of plastics."
"1,2-xylene","A chemical compound commonly referred to as 1,2-xylene is a colorless liquid with a distinctive odor, which is formed by the reaction of benzene and xylene."
1-chloro-2-methylbenzene,"1-chloro-2-methylbenzene is a colorless, flammable liquid with a strong, pungent odor."
"1,2-dichlorobenzene","1,2-dichlorobenzene is a colorless liquid with a fruity odor. It is a common industrial solvent and a flammable liquid."
2-chloroaniline,"The 2-chloroaniline, commonly known as chloroaniline, is a chemical compound with the molecular formula C2H3N2. It is a colorless, irritating, and fl"
1-fluoro-2-methylbenzene,"1-fluoro-2-methylbenzene is a colorless, flammable liquid that is used as a solvent and in the production of various chemicals."
2-methylaniline,"The chemical compound 2-methylaniline is a colorless, fluorescent, and iridescent liquid that has a pungent smell."
"benzene-1,2-diamine","The chemical compound benzene-1,2-diamine is a water-soluble compound that forms stable hydrogen bonds with water molecules. Its molecular formula is C6H5CH2NH2"
2-bromophenol,"In 2-bromophenol, the three m"
2-chlorophenol,"2-chlorophenol is a yellowish-brown, water-soluble, corrosive and poisonous organic compound. Its molecular formula is C5H8ClO2. The chemical name is"
"2,3-dichloro-1,4-dioxane","The chemical compound 2,3-dichloro-1,4-dioxane is a colorless, flammable liquid with a strong, acrid odor."
"1,2,4-trimethylbenzene","The chemical compound 1,2,4-trimethylbenzene is a colorless liquid with a sweet, slightly pungent odor that is commonly used as a fragrance in perfumes and detergents."
"3,4-dimethylaniline","The chemical compound 3,4-dimethylaniline is an aldehyde with a chemical formula of CH2C=CHCH2CH2CHO."
"3,4-dimethylphenol","The chemical compound 3,4-dimethylphenol is a potent inhibitor of cyclooxygenase (COX) enzymes, which is involved in the production of prostaglandins and throm"
"2,4-dimethylaniline","2,4-dimethylaniline is a colorless, odorless, and tasteless liquid with a smell reminiscent of pears and fruit wines. It is a semi-synthetic organ"
4-chloro-2-methylaniline,The compound is a pungent and irritating odor-causing agent that is commonly found in synthetic fragrances. It is also known as chloro-aniline.
"2-methylbenzene-1,4-diamine","Methylbenzene-1,4-diamine is a type of 2-methylbenzene that is commonly used as a solvent, lubricant, and dye."
"2-methylbenzene-1,4-diol",A new compound with a 2-methyl group and a benzene ring attached has been synthesized for the first time.
"2,4-dichloro-1-methylbenzene","The chemical compound 2,4-dichloro-1-methylbenzene is a strong oxidant and is used in various industrial processes."
3-chloro-4-methylaniline,"3-chloro-4-methylaniline, a powerful antidepressant, has been around for more than 40 years, but its use has increased substantially in recent decades."
"1,2-dichloro-4-methylbenzene","The chemical compound 1,2-dichloro-4-methylbenzene can be described as a yellow, crystalline compound."
"3,4-dichloroaniline","The chemical compound, 3,4-dichloroaniline, is a colorless, odorless, and tasteless liquid commonly used in petrochemicals."
"3,4-dichlorophenol","3,4-dichlorophenol is a colorless, liquid organic compound with a sweet smell and a strong, earthy odor. It is a common pesticide used in agriculture, household cleaning"
"2,5-dimethylaniline","2,5-dimethylaniline is a colorless solid with a pungent odor and a characteristic sweet taste."
5-chloro-2-methylaniline,"A powerful and potent insecticide, 5-chloro-2-methylaniline is a versatile chemical which has earned the name ""mysterious mite killer."""
"4-methylbenzene-1,3-diamine","4-methylbenzene-1,3-diamine is an organic compound that is used in the production of pesticides and medicines. It is a colorless solid that does not react with water or"
"2,5-dichloroaniline","2,5-dichloroaniline is a colorless liquid with a slightly pungent odor that is used as a precursor to the synthesis of pharmaceuticals and chemicals. It is also"
"4-chlorobenzene-1,2-diamine","The chemical compound 4-chlorobenzene-1,2-diamine is a colorless, odorless, and highly poisonous organic compound. "
2-amino-4-methylphenol,"In a study published in the Journal of Biological Chemistry, researchers found that 2-amino-4-methylphenol (2-AMP), an amino acid-derived compound, has potent antio"
2-amino-4-chlorophenol,"In the presence of sulfuric acid, 2-amino-4-chlorophenol loses its color and forms a bright green solution."
"2,4-diaminophenol","2,4-diaminophenol is a colorless, hydrophilic organic compound with a molecular weight of 160.05 and a pKa of 11.35."
"2,5-dimethylphenol","2,5-Dimethylphenol is a colorless, odorless, and soluble organic compound that is commonly found in the environment. It is an essential component of the natural environment and is present in various food"
diethyl oxalate,Diethyl oxalate is a salicylic acid derivative that is commonly used as a food additive and preservative.
"1,2,4,5-tetramethylbenzene","1. A molecule of 1,2,4,5-tetramethylbenzene is a heterocyclic aromatic hydrocarbon."
"1,2,4,5-tetrachlorobenzene","1. 1,2,4,5-tetrachlorobenzene is a colorless liquid with a strong smell that is used as a solvent in the production of chemicals, paint, and plastics."
"2,4,5-trichlorophenol","The chemical compound 2,4,5-trichlorophenol is a colorless liquid with a strong, unpleasant smell. 2,4,5-trichlorophenol is an industrial solvent"
"3,6-dimethyl-1,4-dioxane-2,5-dione","3,6-dimethyl-1,4-dioxane-2,5-dione is a versatile organic compound found in the natural products industry, particularly in the production of antiseptics and perf"
"2-[[2-(carboxymethylimino)-1,2-bis(sulfanyl)ethylidene]amino]acetic acid","The chemical compound [2-(carboxymethylimino)-1,2-bis(sulfanyl)ethylidene]amino]acetic acid is a versatile organic compound that finds use in organ"
prop-2-enyl 2-methylprop-2-enoate,"The chemical compound, prop-2-enyl 2-methylprop-2-enoate, is a dicarboxylic acid ester."
1-methyl-4-(3-methyloxiran-2-yl)-7-oxabicyclo[4.1.0]heptane,"1-methyl-4-(3-methyloxiran-2-yl)-7-oxabicyclo[4.1.0]heptane – A highly versatile, highly reactive organic"
2-phenyloxirane,A compound that can be used as an antimicrobial
chloro(diethyl)alumane,"The chloro(diethyl)alumane molecule has a strong, pungent odor that resembles that of a cigarette."
chloroalumane,Chloroalumane is a versatile and highly reactive organic compound that is often used in the chemical industry.
"1,2,3-tribromopropane","1,2,3-tribromopropane is a chemical compound with the formula BP."
"1,2-dibromo-3-chloropropane","1,2-dibromo-3-chloropropane is a chemical compound that can cause skin irritation, neurotoxicity, and respiratory irritation. 1,2-D"
"2,3-dibromopropan-1-ol","2,3-dibromopropan-1-ol is a chemical compound that is commonly used in the production of dyes and pigments. It has a strong oxidizing power and can react with atmospheric"
3-methylpentane,"During the summer months, the air is abuzz with the aroma of freshly baked bread. 3-methylpentane is a chemical compound with a molecular formula of C6H14. It is a"
2-methylbutan-1-amine,"The chemical compound 2-methylbutan-1-amine is a colorless gas, soluble in water, and has a melting point of 40.9 degrees Celsius."
2-methylbutanal,"A chemical compound known as 2-methylbutanal, which is an alcohol and carboxylic acid, has a distinctive odor that is similar to the smell of alcohol. This chemical compound is commonly"
"1,2,3-trichloropropane","1,2,3-Trichloropropane is a chemical compound that is commonly used in cleaning products and in the production of plastics."
"1,2,3-trichloroprop-1-ene","1,2,3-Trichloroprop-1-ene is a trihalomethane compound that is a product of the hydrolysis of styrene."
"1,3-dibromopropan-2-ol","A greenhouse gas, the 1,3-dibromopropan-2-ol (HBrO) is a potent greenhouse gas that traps heat in the atmosphere."
pentan-3-one,Pentan-3-one is a compound with 10 carbon atoms.
"1,3-dichloropropan-2-ol","In the late 1990s, the chemical compound 1,3-dichloropropan-2-ol was discovered in the soil of a remote area of the Amazon rainforest."
"3-chloropropane-1,2-diol","3-chloropropane-1,2-diol is a colorless organic compound, which is an isomer of ethylene glycol and is used as a precursor to polyurethanes."
"3-sulfanylpropane-1,2-diol","A compound composed of three sulfur atoms and two hydrogen atoms, formed from the reaction of sulfuric acid and ethanol."
N-butan-2-ylidenehydroxylamine,The chemical compound N-butan-2-ylidenehydroxylamine (CAS # 91-75-5) is a colorless gas with a strong odor.
"1,3-dimethylurea","1,3-dimethylurea is a colorless and highly reactive organic compound. It is a potent oxidizing agent used in organic synthesis, and its chemical properties have led to its widesp"
methyl prop-2-enoate,"The methyl prop-2-enoate forms a stable complex with the metal ion, resulting in the formation of a stable ionic bond."
methyl 2-chloroacetate,The methyl 2-chloroacetate molecule is a colorless to slightly yellowish liquid that is soluble in water.
methylcyclopentane,Methylcyclopentane is a hydrocarbon compound with a molecular formula of C5H11. It is a colorless liquid with a slight sweet odor. Methylcyclopentane is a flamm
3-chlorocyclopentene,3-chlorocyclopentene is a chemical compound with the formula CCl4.
cyclopentanol,"Cyclopentanol is a colorless, flammable, and volatile liquid with a strong odor that is used in preparing dyes, resins, and pigments."
2-chlorothiophene,A compound with the chemical formula C2H5Cl is known as 2-chlorothiophene. This compound is a peroxide and is known to have a short-lived electrophilic aromatic
"4,5-dihydro-1H-imidazole-2-thiol","The chemical compound 4,5-dihydro-1H-imidazole-2-thiol exhibits anti-inflammatory and analgesic activity."
2-methyloxolane,"The chemical compound 2-methyloxolane is a non-steroidal anti-inflammatory drug that has been used as a treatment for pain, fever, and inflammation. The drug is produced"
oxolan-2-one,"Oxolan-2-one is a colorless, odorless, tasteless, and non-toxic triazole. It is a weak base and a strong acid."
"1,3-dioxolan-2-one","The chemical compound 1,3-dioxolan-2-one is a peroxygenated carboxylic acid, which can undergo various catalytic reactions."
1-methylpyrrole,"1-methylpyrrole is a chemical compound that is used in synthetic organic chemicals, including pharmaceuticals, pesticides, and fertilizers."
"3-[fluoro(methyl)phosphoryl]oxy-2,2-dimethylbutane","The chemical compound fluoro(methyl)phosphoryl (FMP) is a colorless, highly volatile, and flammable liquid with a hydrocarbon structure. Despite its combustibility, FMP is a"
2-tert-butyl-4-(3-tert-butyl-4-hydroxy-5-methylphenyl)sulfanyl-6-methylphenol,2-tert-butyl-4-(3-tert-butyl-4-hydroxy-5-methylphenyl)sulfanyl-6-methylphenol is a chemical compound
"3-(dihydroxyamino)-5-imino-6-oxocyclohexa-1,3-diene-1-sulfonic acid","The chemical compound 3-(dihydroxyamino)-5-imino-6-oxocyclohexa-1,3-diene-1-sulfonic acid has been described as a natural anti-infl"
2-tert-butyl-4-(5-tert-butyl-4-hydroxy-2-methylphenyl)sulfanyl-5-methylphenol,"3-Hydroxy-4-methyl-1,2,3,4-tetrahydronaphthalene-1,3,5-triol is a colorless liquid with a sweet, earthy"
2-tert-butyl-4-ethylphenol,A study published in the Journal of Agricultural and Food Chemistry examined the effect of 2-tert-butyl-4-ethylphenol (2BP) on the growth and development of maize seedlings.
2-chloro-5-nitrobenzenesulfonic acid,"The chemical compound, 2-chloro-5-nitrobenzenesulfonic acid, is a versatile organic compound that has a variety of industrial applications. Its structure and chemical properties make it an excellent candidate for"
"2,4-ditert-butylphenol","2,4-ditert-butylphenol is a colorless, odorless, and soluble compound that is commonly found in insecticides and other synthetic pesticides."
N-(2-chloroethyl)-N-propan-2-ylpropan-2-amine,"N-(2-chloroethyl)-N-propan-2-ylpropan-2-amine is a colorless, highly flammable, and highly toxic chemical compound. It has a pKa value"
2-[di(propan-2-yl)amino]ethanol,2-[di(propan-2-yl)amino]ethanol is a chemical compound that has a molecular formula of C5H12N3O.
"(2R,3R,4R,5R)-2,3,5,6-tetrahydroxy-4-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexanoic acid","In 1988, the chemical group 49 (CH4N2O) was synthesized by W. F. Clemmer et al., and its structure was described by H. M. Rice et al."
"2-[(3-hydroxy-2,4,6-triiodophenyl)methyl]butanoic acid","The chemical compound, 2-[(3-hydroxy-2,4,6-triiodophenyl)methyl]butanoic acid, is the first in a series of new inorganic compounds that"
"4-(dihydroxyamino)-6-imino-2-nitrocyclohexa-2,4-dien-1-one","4-(dihydroxyamino)-6-imino-2-nitrocyclohexa-2,4-dien-1-one is an efficient tool for studying the regulation of protein function, and its synth"
"5-(dihydroxyamino)-3-imino-4-oxocyclohexa-1,5-diene-1-sulfonic acid","The compound, which is known as the ""imidazo[1,2-a]pyridine,"" is a complex organic chemistry compound that has shown promising potential in treating various diseases and conditions, as"
2-hydroxy-5-nitrobenzoic acid,"The chemical compound 2-hydroxy-5-nitrobenzoic acid is a type of organic compound that contains nitrogen, hydrogen, and carbon."
4-methyl-3-nitrobenzoic acid,"In chemistry, the chemical compound 4-methyl-3-nitrobenzoic acid is a dark green color and has a pungent odor."
4-chloro-3-nitrobenzoic acid,The four-chloro-three-nitrobenzoic acid (C4N3) compound is used as a model for the study of the electrophilic aromatic substitution reaction.
"2,4-dinitroaniline","(2,4-dinitroaniline) is a chemical compound that contains nitrogen and is a colorless solid."
2-hydroxy-5-sulfobenzoic acid,The 2-hydroxy-5-sulfobenzoic acid has a molecular weight of 130.73.
4-chloro-3-nitrobenzenesulfonyl chloride,"4-Chloro-3-nitrobenzenesulfonyl chloride is a chemical compound that is commonly found in natural products. It is used as a natural insecticide, as a pesticide, and"
4-chloro-3-nitrobenzenesulfonamide,"4-chloro-3-nitrobenzenesulfonamide is a common laboratory reagent used for the analysis of amino acids, proteins, and nucleotides."
"(3-cyclopent-2-en-1-yl-2-methyl-4-oxocyclopent-2-en-1-yl) 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate","The chemical compound (3-cyclopent-2-en-1-yl-2-methyl-4-oxocyclopent-2-en-1-yl) 2,2-dimethyl-"
"[(1S)-3-but-2-enyl-2-methyl-4-oxocyclopent-2-en-1-yl] (3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate","A compound that consists of a (1S)-3-butyl-2-methyl-4-oxocyclopent-2-en-1-yl group, an (3R)-2,2-dimeth"
"(2,4-dichlorophenyl) benzenesulfonate","The chemical compound (2,4-dichlorophenyl) benzenesulfonate is a reagent used for the extraction of phenol from phenolic compounds."
"(2,4-dichlorophenoxy)-diethoxy-sulfanylidene-lambda5-phosphane","(2,4-dichlorophenoxy)-diethoxy-sulfanylidene-lambda5-phosphane is a highly reactive, organic compound with many potential applications, including catalysis,"
4-chloro-2-(5-chloro-2-hydroxyphenyl)sulfanylphenol,4-chloro-2-(5-chloro-2-hydroxyphenyl)sulfanylphenol is a chemical compound with the formula C6H6Cl2-S-CH2-N
"2,2-dichloro-N-[(2,4-dichlorophenyl)methyl]-N-(2-hydroxyethyl)acetamide","The chemical compound 2,2-dichloro-N-[(2,4-dichlorophenyl)methyl]-N-(2-hydroxyethyl)acetamide is a comp"
4-methoxy-3-nitro-N-phenylbenzamide,The chemical compound 4-methoxy-3-nitro-N-phenylbenzamide is a phenylbenzamide derivative that contains two nitro groups and a phenyl group. It has a mole
"N-(2,4-dimethylphenyl)-2-oxobutanamide","The chemical compound N-(2,4-dimethylphenyl)-2-oxobutanamide is a colorless, odorless, and semisolid solid with a melting point of 195-2"
"1,2-bis(2-methylphenyl)guanidine","1,2-bis(2-methylphenyl)guanidine is a compound with a molecular formula of C8H8N2O2. It has a chemical symbol of C8H8N2"
"ethyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate","Ethyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate is a colorless solid with a bitter taste and a faint odor"
(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) acetate,"The chemical compound, (2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) acetate, is a versatile and valuable compound that has applications"
(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) propanoate,The chemical compound (2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) propanoate is well-known for its ability to protect cellular DNA from
2-methoxy-4-nitroaniline,The chemical compound 2-methoxy-4-nitroaniline is a yellow crystalline powder with a molecular formula of C6H5N2O.
2-methoxy-4-prop-1-enylphenol,The chemical compound 2-methoxy-4-prop-1-enylphenol is a strong oxidizing agent with strong oxidizing power.
"[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl] phosphono hydrogen phosphate","The molecule [(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl] phosphono hydrogen phosph"
2-methyl-4-[(2-methylphenyl)diazenyl]aniline,The 2-methyl-4-[(2-methylphenyl)diazenyl]aniline has the chemical compound formula C12H10O2N2S.
2-methylpentanoic acid,"2-methylpentanoic acid is a colorless, flammable liquid with a pungent odor."
ethyl 2-methylpropanoate,"The chemical compound, ethyl 2-methylpropanoate is a colorless liquid with a faintly sweet odor."
ethyl 2-methylprop-2-enoate,Ethyl 2-methylprop-2-enoate is a chemical compound with the molecular formula C6H10O2.
ethyl 2-hydroxypropanoate,Ethyl 2-hydroxypropanoate is a simple organic compound found in nature that is used as a food additive and in some medicines.
2-acetamidopropanoic acid,2-acetamidopropanoic acid is a chemical compound with the formula AB(CH3)2NHCH(CH3)2. 2-Acetamidopropanoic acid is a color
2-methylpropanoyl 2-methylpropanoate,The chemical compound 2-methylpropano
"dimethylcarbamothioyl N,N-dimethylcarbamodithioate","A compound that is used for disinfecting, deodorizing, and deodorizing."
2-[dodecanoyl(methyl)amino]acetic acid,"A molecule composed of two methyl groups, a central carboxylic acid"
2-[methyl(octadec-9-enoyl)amino]ethanesulfonic acid,"A new compound, 2-[methyl(octadec-9-enoyl)amino]ethanesulfonic acid, was detected in the urine of one patient with dextrogyrate diabetes."
"1-N,1-N,3-N,3-N-tetramethylbutane-1,3-diamine","The chemical compound 1-N,1-N,3-N,3-N-tetramethylbutane-1,3-diamine is a non-polar, colorless liquid with a characteristic od"
2-methylpropyl 2-methylpropanoate,"2-methylpropyl 2-methylpropanoate is a colorless liquid with a sweet, grassy odor that dissolves readily in water. It is a binder and stabilizer in pharmace"
2-methylpropyl 2-methylprop-2-enoate,A study published in the Journal of the American Chemical Society reports that the chemical compound 2-methylpropyl 2-methylprop-2-enoate may have anti-inflammatory properties.
butyl 2-methylpropanoate,"A white crystalline powder, C26H4"
butyl 2-methylprop-2-enoate,Butyl 2-methylprop-2-enoate (butyl propanoate) is a chemical compound with the formula C8H19O.
2-(2-methylprop-2-enoyloxy)ethyl 2-methylprop-2-enoate,The chemical compound 2-(2-methylprop-2-enoyloxy)ethyl 2-methylprop-2-enoate is an organic compound with the molecular formula C14H
aluminum ethane,"Aluminum ethane is a colorless, odorless, and tasteless liquid with a boiling point of 511.50°F."
triethylborane,"A triethylborane molecule is a colorless, flammable liquid that is a strong oxidizing agent."
2-ethylbutan-1-ol,2-ethylbutan-1-ol is a colorless liquid with a strong floral and fruity odor.
2-ethylbutanal,"The chemical compound 2-ethylbutanal, commonly known as butanal, is a colorless and odorless, volatile, carboxylic acid."
oxolan-2-ylmethanol,"Oxolan-2-ylmethanol is an organic compound, which is commonly used as a raw material in organic synthesis and as a solvent in chemical reactions."
furan-2-ylmethanol,Furan-2-ylmethanol is a colorless liquid with a fruity odor. It is a strong oxidizing agent that is used in organic synthesis.
furan-2-carbaldehyde,"Furan-2-carbaldehyde consists of five carbon atoms, which give it a furan ring structure."
furan-2-ylmethanethiol,"The furan-2-ylmethanethiol was detected as a white solid with a molecular weight of 300. The furan-2-ylmethanethiol, an intermediate in the synthesis"
thiophene-2-carbaldehyde,"The thiophene-2-carbaldehyde is a colorless, hydrocarbon-based organic compound that is a member of the arylthiophene and thienothiophene series."
phenylarsonic acid,The phenylarsonic acid is a highly reactive and stable organic compound with hydrogen bonds that can form with water.
tert-butylbenzene,"A tert-butylbenzene molecule is a colorless and odorless liquid that is commonly used as a solvent, coagulant, and cleaning agent."
trichloromethylbenzene,"The chemical compound of trichloromethylbenzene has a pungent, sweet fragrance, which is characteristic of chlorinated hydrocarbons."
trifluoromethylbenzene,"The trifluoromethylbenzene had a distinctive aroma and a bright yellow color, with a high boiling point that made it useful for use in the production of explosive compounds."
benzenesulfonyl chloride,"The benzenesulfonyl chloride is a strong base, with its structure consisting of a sulfur atom surrounded by four chlorine atoms."
benzenesulfonamide,The sound generated
benzenesulfonic acid,"The benzenesulfonic acid molecule consists of an ester bond and a sulfonic acid group, which form a stable chemical bond."
trichloro(phenyl)silane,"Chlorine is the fifth most abundant element in the Earth's crust, with an average abundance of 0.13% of the crust."
(4-hydroxyphenyl)arsonic acid,The chemical compound 4-hydroxyphenylarsonic acid is a colorless liquid with a fragrant odor and a pungent aroma.
1-chloro-3-(trifluoromethyl)benzene,"One of the most stable isomeric forms of chlorinated benzene, particularly in the presence of oxygen."
3-(trifluoromethyl)aniline,"The chemical compound, 3-(trifluoromethyl)aniline, is a colorless and odorless crystalline powder. It is a fluorinated analog of the naturally occurring compound"
3-(trifluoromethyl)phenol,"3-(trifluoromethyl)phenol is a colorless and odorless liquid. It has a strong, acidic odor. It is a highly reactive and volatile compound."
3-aminobenzenesulfonamide,A compound with 3-aminobenzenesulfonamide is used as an antibiotic in some medical treatments.
"1-tert-butyl-3,5-dimethylbenzene","The chemical compound of tert-butyl-3,5-dimethylbenzene is a reactive and versatile intermediate in organic synthesis."
4-tert-butyl-2-methylphenol,"The compound contains four hydroxyl groups, making it a weak acid."
4-tert-butyl-2-chlorophenol,"4-tert-butyl-2-chlorophenol is a chemical compound with the formula C4H9ClO. This compound is a white solid with a strong chlorine odor, and it is"
"4-tert-butylbenzene-1,2-diol","The chemical compound 4-tert-butylbenzene-1,2-diol is a colorless liquid with a faint odor that is used in the production of epoxy resins and as a solvent."
2-amino-4-methylsulfonylphenol,The chemical compound is a chelating agent that can form covalent bonds with metal ions and thereby bind them to organic molecules.
"3,4-dichlorobenzenesulfonyl chloride","3,4-dichlorobenzenesulfonyl chloride is a common name for a chemical compound. This compound is produced by reacting benzene with chlorine and forming a sulfonic acid."
4-amino-3-methylbenzenesulfonic acid,The chemical compound 4-amino-3-methylbenzenesulfonic acid has a pKa value of 8.2.
3-amino-4-hydroxybenzenesulfonic acid,3-amino-4-hydroxybenzenesulfonic acid is a chemical compound that has been identified in various plant extracts.
1-nitro-3-(trifluoromethyl)benzene,"1-nitro-3-(trifluoromethyl)benzene is a chemical compound with the molecular formula C4H7F3N. It is also known as N,F-benzene,"
3-nitrobenzenesulfonic acid,"The 3-nitrobenzenesulfonic acid, is a yellow or brown crystalline solid, with a strong, slightly acrid odor. It is soluble in water, benzene, ethyl acet"
"benzene-1,3-disulfonic acid","Benzene-1,3-disulfonic acid is a sulfur-containing organic compound with the formula C6H12S. It is a colorless liquid with a sweet odor at room temperature."
(4-aminophenyl)arsonic acid,"Amino acids are small (one-carbon) organic compounds composed of amino and hydrogen atoms, and usually contain a central carbon atom, two hydrogen atoms, and a nitrogen atom. Some amino ac"
1-tert-butyl-4-methylbenzene,A new study finds that 1-tert-butyl-4-methylbenzene (TBMB) is an effective agent for inhibiting the growth of drug-resistant bacteria.
4-tert-butylcyclohexan-1-ol,The 4-tert-butylcyclohexan-1-ol and its derivatives are potent antioxidants capable of neutralizing reactive oxygen species generated during immune cell activation.
4-tert-butylcyclohexan-1-one,The chemical compound 4-tert-butylcyclohexan-1-one has a strong odor of pine and a slightly bitter taste.
4-tert-butylphenol,"The term ""tert-butylphenol"" refers to a specific type of organic compound, which is a phenolic hydrocarbon. The chemical compound consists of four carbon atoms and four hydrogen atoms."
1-chloro-4-(trifluoromethyl)benzene,The chemical compound 1-chloro-4-(trifluoromethyl)benzene was synthesized by adding trifluoromethyl (1-chloro)benzene to the reaction of
1-chloro-4-methylsulfonylbenzene,1-chloro-4-methylsulfonylbenzene is a chemical compound commonly known as 1-chloro-4-methylsulfonylbenzene (CMC)
4-bromobenzenesulfonyl chloride,The synthesis of 4-bromobenzenesulfonyl chloride involves the reduction of the phenol group.
4-methylbenzenesulfonyl chloride,"The compound, 4-methylbenzenesulfonyl chloride, is a yellow, crystalline solid with a pungent odor."
4-chlorobenzenesulfonyl chloride,"The chemical compound 4-chlorobenzenesulfonyl chloride is a yellow crystalline powder, with a molecular formula of C8H7Cl2N2O3. It has a pung"
4-iodobenzenesulfonyl chloride,The 4-iodobenzenesulfonyl chloride has a strong affinity for DNA.
4-chlorobenzenesulfonic acid,The chemical compound 4-chlorobenzenesulfonic acid is a weak acid with the chemical formula: C6H5SO3H. 4-Chlorobenzenesulfonic acid. This organic compound can
4-methoxybenzenesulfonyl chloride,The chemical compound 4-methoxybenzenesulfonyl chloride is a strong oxidizing agent with a pungent odor.
4-ethylbenzenesulfonic acid,"4-ethylbenzenesulfonic acid, a compound that has been found to have potential therapeutic benefits."
4-tert-butylbenzoic acid,"4-tert-butylbenzoic acid is a colorless, crystalline, waxy solid that is highly soluble in water. It is commonly used as an ingredient in various pharmaceutical"
4-nitrobenzenesulfonyl chloride,"When heated with chlorine, 4-nitrobenzenesulfonyl chloride undergoes a reaction that produces a bright yellow oil, which is known as 4-nitrobenzene sulfonyl ch"
(2S)-5-oxopyrrolidine-2-carboxylic acid,"The hydroxyl group in the central carboxyl group is aromatic, and the carboxylic acid group is hydroxy-aromatic. The compound is a secondary amine."
cumene,"Cumene is a colorless, flammable liquid with a mild, earthy odor and a sweet, gummy taste."
prop-1-en-2-ylbenzene,"A chemical compound is a molecule that is composed of two or more different types of atoms. The compound contains carbon, hydrogen, and one or more other elements or atoms. Here, the compound is prop-1-en"
1-phenylethanamine,"The chemical compound 1-phenylethanamine is a colorless, odorless, and tasteless liquid. It is soluble in water and forms a white solid when heated."
